id,name,orig_name
0,GOPI NON FAT  YOGURT,GOPI NON FAT  YOGURT
1,HIMALAYA TULSI RESPIRATORY WELLNESS,HIMALAYA TULSI RESPIRATORY WELLNESS
2,DEEP POTATOES DICED,DEEP POTATOES DICED
3,BIKAJI GUR REWARI,BIKAJI GUR REWARI
4,BAROODY MAAMOUL DATE FILLED COOKIES,BAROODY MAAMOUL DATE FILLED COOKIES
5,CLOROX,CLOROX
6,BURMANS YELLOW MUSTARD,BURMANS YELLOW MUSTARD
7,BABY GOAT CLEAN HALAL,BABY GOAT CLEAN HALAL
8,EXQUISITAS BAKERY PEPERECHAS,EXQUISITAS BAKERY PEPERECHAS
9,EMAMI FAIR AND HANDSOME,EMAMI FAIR AND HANDSOME
10,BHAVANI MADRAS JAGGERY CUBES,BHAVANI MADRAS JAGGERY CUBES
11,GULLON NO SUGAR TWINS CREME,GULLON NO SUGAR TWINS CREME
12,ATTICA KALAMATA OLIVES PITTED,ATTICA KALAMATA OLIVES PITTED
13,HEINZ BEANS WITH TOMATO SAUSE,HEINZ BEANS WITH TOMATO SAUSE
14,COBAN KASAP SUCUGU,COBAN KASAP SUCUGU
15,BANQUET POPCORN CHICKEN,BANQUET POPCORN CHICKEN
16,KCB PUNJABI VEG BISCUIT,KCB PUNJABI VEG BISCUIT
17,KOSKA TAHIN HELVA PISTACHIO,KOSKA TAHIN HELVA PISTACHIO
18,COUSCUS,COUSCUS
19,HAITHI MANGO,HAITHI MANGO
20,AFGANI FIG,AFGANI FIG
21,ELEGANT PEELER,ELEGANT PEELER
22,GOAT LIVER,GOAT LIVER
23,BLACK CURRANT,BLACK CURRANT
24,KANGNA HERBAL HENNA,KANGNA HERBAL HENNA
25,BARILLA THIN SPAGHETTI,BARILLA THIN SPAGHETTI
26,FUJI APPLE,FUJI APPLE
27,GRAPE SEED OIL,GRAPE SEED OIL
28,KOSKA TAHIN HELVA SADE PLAIN,KOSKA TAHIN HELVA SADE PLAIN
29,DETTOL ANTI BAKTERI COOL SOAP,DETTOL ANTI BAKTERI COOL SOAP
30,CASTELLA ALL SPICED GROUND,CASTELLA ALL SPICED GROUND
31,LUCKY COOKED SHRIMP TAIL 71/90,LUCKY COOKED SHRIMP TAIL 71/90
32,ASHOKA LOTUS ROOTS,ASHOKA LOTUS ROOTS
33,ACTIONWARE MENDU WADA MAKER,ACTIONWARE MENDU WADA MAKER
34,BOBORIS MARINATES ARTICHOKE,BOBORIS MARINATES ARTICHOKE
35,EBM NAN KHATAI,EBM NAN KHATAI
36,BAJAJ ALMOND DROPS,BAJAJ ALMOND DROPS
37,BLACK GRAPES,BLACK GRAPES
38,JASHAN PUNJABI WADI,JASHAN PUNJABI WADI
39,COLGATE CAVITY PROTECTION,COLGATE CAVITY PROTECTION
40,KOLSON COLOR VERMICELLI,KOLSON COLOR VERMICELLI
41,COCONUT,COCONUT
42,7 FISHES RAW SHRIMP 41 50,7 FISHES RAW SHRIMP 41 50
43,HIMALAYA ALMOND ROSE SOAP,HIMALAYA ALMOND ROSE SOAP
44,JUMBO MEZBAN PUNJABI SAMOSA,JUMBO MEZBAN PUNJABI SAMOSA
45,AJAX,AJAX
46,CHINGS MIX VEG SOUP,CHINGS MIX VEG SOUP
47,DABUR KEORA WATER,DABUR KEORA WATER
48,KARA COCONUT WATER MANGO,KARA COCONUT WATER MANGO
49,ELITE PREMIUM CHERRY NUT CAKE,ELITE PREMIUM CHERRY NUT CAKE
50,FARMLAND ORGANIC WHOLE MILK,FARMLAND ORGANIC WHOLE MILK
51,AHMED KEWRA WATER,AHMED KEWRA WATER
52,CADBURY CRUNCHIE,CADBURY CRUNCHIE
53,ACHVA HALVA MINI SNACK BAG,ACHVA HALVA MINI SNACK BAG
54,DEEP HIMEJ WHOLE,DEEP HIMEJ WHOLE
55,JIYA JAGGERY POWDER,JIYA JAGGERY POWDER
56,DEEP CHANA DAL,DEEP CHANA DAL
57,CHANDAN BERRY FANTASY,CHANDAN BERRY FANTASY
58,GILLETTE 7 O CLOCK BLADES HOLDER,GILLETTE 7 O CLOCK BLADES HOLDER
59,DEER GUR JAGGERY  002054,DEER GUR JAGGERY  002054
60,ETI ADICTO BROWNI INTENSE,ETI ADICTO BROWNI INTENSE
61,CHICKEN BREAST CUBES,CHICKEN BREAST CUBES
62,FAZLANI RED KIDNEY BEANS BASMATI,FAZLANI RED KIDNEY BEANS BASMATI
63,CANDYLAND PUFFS HALAL MARSHMALLOWS,CANDYLAND PUFFS HALAL MARSHMALLOWS
64,FARMHOUSE ORGANIC EGGS,FARMHOUSE ORGANIC EGGS
65,ANAND KHICHIYA GREEN CHILLY,ANAND KHICHIYA GREEN CHILLY
66,GANGAJAL,GANGAJAL
67,HIMALAYAN DELIGHT KOKAM WET,HIMALAYAN DELIGHT KOKAM WET
68,CILANTRO,CILANTRO
69,CINTHOL LIME SOAP,CINTHOL LIME SOAP
70,GREEN GRAPES,GREEN GRAPES
71,BYRNE DAIRY HEAVY CREAM,BYRNE DAIRY HEAVY CREAM
72,HACI SAKIR BATH SOAP LAVANDER,HACI SAKIR BATH SOAP LAVANDER
73,EXOTIC CUSTARD APPLE POWDER,EXOTIC CUSTARD APPLE POWDER
74,BOTANY APPLE FRUIT TEA,BOTANY APPLE FRUIT TEA
75,BOBS RED MILL ORG EXT THICK ROLLED OATS,BOBS RED MILL ORG EXT THICK ROLLED OATS
76,AMERICAN BEE POLLEN,AMERICAN BEE POLLEN
77,HEMANI CASTOR OIL,HEMANI CASTOR OIL
78,APPALAM PAPAD BLUE,APPALAM PAPAD BLUE
79,BRADS ORGANIC BALSAMIC VINEGAR,BRADS ORGANIC BALSAMIC VINEGAR
80,DOMINO DARK BROWN SUGAR,DOMINO DARK BROWN SUGAR
81,CAPPADOCIA XTRA VIRGIN OLIVE OIL,CAPPADOCIA XTRA VIRGIN OLIVE OIL
82,BANSI PAAPRI CHAAT KIT,BANSI PAAPRI CHAAT KIT
